Armas_Medios,Departamento,Municipio,Fecha_Hecho,Genero,Edad_Persona,Codigo_Dane,Delitos,Mes,Cantidad,Trimestre,Dia_Semana,Año,Categoria_Delito
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-28,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-28,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-28,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-30,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-27,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Madrid,2026-02-27,Masculino,Adultos,25430,Artículo 239. Hurto Personas,2,1,1,4,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-30,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-29,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,6,2026,Hurto Personas
No Reportado,Cundinamarca,Madrid,2026-03-29,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,6,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-31,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-30,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Funza,2026-03-30,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Funza,2026-03-31,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-31,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Madrid,2026-03-29,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,6,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-01,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,6,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-19,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Madrid,2026-03-20,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-20,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-10,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-26,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-12,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-13,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-21,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-28,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-21,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-27,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Funza,2026-03-14,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-19,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-28,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-25,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-24,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-26,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-24,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-14,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-25,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-16,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Funza,2026-03-24,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-21,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-23,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-20,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-11,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-19,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-23,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-02-20,Femenino,Adultos,25473,Artículo 239. Hurto Personas,2,1,1,4,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-25,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-24,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-24,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-25,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-25,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-21,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-26,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-22,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,6,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Funza,2026-03-26,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-19,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-18,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-18,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Madrid,2026-03-16,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-18,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Funza,2026-03-20,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Funza,2026-03-21,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Madrid,2026-03-20,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-14,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-21,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-05,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-15,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,6,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-15,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,6,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Funza,2026-03-11,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Funza,2026-03-13,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-16,Masculino,Adolescentes,25286,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
No Reportado,Cundinamarca,Mosquera,2026-03-17,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-04,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-13,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-18,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Madrid,2026-03-06,Femenino,Adolescentes,25430,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Funza,2026-03-14,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Madrid,2026-03-06,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-17,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-17,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-19,Masculino,Adolescentes,25473,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Funza,2026-03-17,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-17,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-16,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-14,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-16,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Madrid,2026-03-13,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-14,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Mosquera,2026-03-17,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Mosquera,2026-03-17,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Contundentes,Cundinamarca,Madrid,2026-03-16,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Funza,2026-02-28,Masculino,Adultos,25286,Artículo 239. Hurto Personas,2,1,1,5,2026,Hurto Personas
Contundentes,Cundinamarca,Madrid,2026-03-14,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-17,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-17,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-02-09,Masculino,Adultos,25286,Artículo 239. Hurto Personas,2,1,1,0,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-13,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Funza,2026-03-17,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Funza,2026-03-18,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-05,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-17,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-11,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-09,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Madrid,2026-01-06,Masculino,Adultos,25430,Artículo 239. Hurto Personas,1,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-10,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-11,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,2,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-07,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Madrid,2026-03-12,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-12,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-13,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Mosquera,2026-03-12,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-02-01,Masculino,Adultos,25286,Artículo 239. Hurto Personas,2,1,1,6,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-13,Masculino,Adolescentes,25430,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-06,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Mosquera,2026-03-13,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-12,Masculino,Adolescentes,25473,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Contundentes,Cundinamarca,Funza,2026-03-14,Masculino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Madrid,2026-03-14,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-13,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-02-28,Femenino,Adultos,25473,Artículo 239. Hurto Personas,2,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-14,Masculino,Adolescentes,25430,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-15,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,6,2026,Hurto Personas
Contundentes,Cundinamarca,Mosquera,2026-03-16,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
