Armas_Medios,Departamento,Municipio,Fecha_Hecho,Genero,Edad_Persona,Codigo_Dane,Delitos,Mes,Cantidad,Trimestre,Dia_Semana,Año,Categoria_Delito
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-12,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,3,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-16,Femenino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-07,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Funza,2026-03-09,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Arma Blanca / Cortopunzante,Cundinamarca,Funza,2026-03-10,Femenino,Adultos,25286,Artículo 239. Hurto Personas,3,1,1,1,2026,Hurto Personas
Contundentes,Cundinamarca,Funza,2026-02-11,Femenino,Adultos,25286,Artículo 239. Hurto Personas,2,1,1,2,2026,Hurto Personas
Arma De Fuego,Cundinamarca,Mosquera,2026-01-03,Masculino,Adultos,25473,Artículo 239. Hurto Personas,1,1,1,5,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Madrid,2026-03-09,Masculino,Adultos,25430,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-09,Femenino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,0,2026,Hurto Personas
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-06,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,4,2026,Hurto Personas
