Armas_Medios;Departamento;Municipio;Fecha_Hecho;Genero;Edad_Persona;Codigo_Dane;Delitos;Mes;Cantidad
Sin Empleo De Armas;Cundinamarca;Mosquera;18/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;27/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;28/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;24/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;27/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;27/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;27/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;25/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;29/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;28/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;22/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;9/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;26/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;11/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;7/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;23/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;22/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;23/05/2025;Masculino;Adolescentes;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;23/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;23/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;24/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;23/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;7/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Funza;23/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;24/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;22/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;12/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;26/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Contundentes;Cundinamarca;Mosquera;25/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;27/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;24/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;13/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;8/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;18/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;27/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;22/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;21/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;21/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;15/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;20/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;20/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;21/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;23/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;6/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;22/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;22/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;31/03/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;3;1
Sin Empleo De Armas;Cundinamarca;Funza;23/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;22/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;20/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;20/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;21/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;23/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;23/05/2025;Femenino;Adolescentes;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;22/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;22/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;21/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;22/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;19/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;17/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;20/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;19/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;13/03/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;3;1
Sin Empleo De Armas;Cundinamarca;Mosquera;21/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;19/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;21/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;21/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;17/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;16/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Contundentes;Cundinamarca;Madrid;7/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;13/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;16/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;16/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;17/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;15/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;17/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;17/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;9/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;5/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Mosquera;7/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;19/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;2/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Madrid;18/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;11/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;2/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;19/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;2/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;13/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;5/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;14/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;29/04/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Funza;14/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Madrid;14/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;29/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;13/05/2025;Femenino;Adolescentes;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;15/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;17/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Funza;9/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;15/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;15/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;27/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;2/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;16/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;3/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;6/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;15/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;6/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;1/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;16/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;15/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;3/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;9/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Mosquera;10/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;23/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;9/03/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;3;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;13/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
